,future,rate,open,close,open_perp,close_perp
2021-10-24T09:00:00+00:00,MKR-PERP,5.7e-05,2491.0,2497.0,2496.0,2503.5
2021-10-24T09:00:00+00:00,MKR-PERP,5.7e-05,2491.0,2497.0,2496.0,2503.5
2021-10-24T09:00:00+00:00,MKR-PERP,5.7e-05,2491.0,2497.0,2496.0,2503.5
2021-10-24T09:00:00+00:00,MKR-PERP,5.7e-05,2491.0,2497.0,2496.0,2503.5
2021-10-24T10:00:00+00:00,MKR-PERP,7e-05,2497.0,2497.5,2503.5,2500.5
2021-10-24T10:00:00+00:00,MKR-PERP,7e-05,2497.0,2497.5,2503.5,2500.5
2021-10-24T10:00:00+00:00,MKR-PERP,7e-05,2497.0,2497.5,2503.5,2500.5
2021-10-24T10:00:00+00:00,MKR-PERP,7e-05,2497.0,2497.5,2503.5,2500.5
2021-10-24T11:00:00+00:00,MKR-PERP,7.3e-05,2497.5,2471.5,2500.5,2477.5
2021-10-24T11:00:00+00:00,MKR-PERP,7.3e-05,2497.5,2471.5,2500.5,2477.5
2021-10-24T11:00:00+00:00,MKR-PERP,7.3e-05,2497.5,2471.5,2500.5,2477.5
2021-10-24T11:00:00+00:00,MKR-PERP,7.3e-05,2497.5,2471.5,2500.5,2477.5
2021-10-24T12:00:00+00:00,MKR-PERP,5.9e-05,2471.5,2461.5,2477.5,2468.0
2021-10-24T12:00:00+00:00,MKR-PERP,5.9e-05,2471.5,2461.5,2477.5,2468.0
2021-10-24T12:00:00+00:00,MKR-PERP,5.9e-05,2471.5,2461.5,2477.5,2468.0
2021-10-24T12:00:00+00:00,MKR-PERP,5.9e-05,2471.5,2461.5,2477.5,2468.0
2021-10-24T13:00:00+00:00,MKR-PERP,5.4e-05,2461.5,2464.0,2468.0,2467.5
2021-10-24T13:00:00+00:00,MKR-PERP,5.4e-05,2461.5,2464.0,2468.0,2467.5
2021-10-24T13:00:00+00:00,MKR-PERP,5.4e-05,2461.5,2464.0,2468.0,2467.5
2021-10-24T13:00:00+00:00,MKR-PERP,5.4e-05,2461.5,2464.0,2468.0,2467.5
2021-10-24T14:00:00+00:00,MKR-PERP,6.7e-05,2464.0,2442.5,2467.5,2449.5
2021-10-24T14:00:00+00:00,MKR-PERP,6.7e-05,2464.0,2442.5,2467.5,2449.5
2021-10-24T14:00:00+00:00,MKR-PERP,6.7e-05,2464.0,2442.5,2467.5,2449.5
2021-10-24T14:00:00+00:00,MKR-PERP,6.7e-05,2464.0,2442.5,2467.5,2449.5
2021-10-24T15:00:00+00:00,MKR-PERP,5.7e-05,2442.5,2416.5,2449.5,2417.0
2021-10-24T15:00:00+00:00,MKR-PERP,5.7e-05,2442.5,2416.5,2449.5,2417.0
2021-10-24T15:00:00+00:00,MKR-PERP,5.7e-05,2442.5,2416.5,2449.5,2417.0
2021-10-24T15:00:00+00:00,MKR-PERP,5.7e-05,2442.5,2416.5,2449.5,2417.0
2021-10-24T16:00:00+00:00,MKR-PERP,5.5e-05,2416.5,2424.5,2417.0,2428.0
2021-10-24T16:00:00+00:00,MKR-PERP,5.5e-05,2416.5,2424.5,2417.0,2428.0
2021-10-24T16:00:00+00:00,MKR-PERP,5.5e-05,2416.5,2424.5,2417.0,2428.0
2021-10-24T16:00:00+00:00,MKR-PERP,5.5e-05,2416.5,2424.5,2417.0,2428.0
2021-10-24T17:00:00+00:00,MKR-PERP,5.7e-05,2424.5,2420.0,2428.0,2425.5
2021-10-24T17:00:00+00:00,MKR-PERP,5.7e-05,2424.5,2420.0,2428.0,2425.5
2021-10-24T17:00:00+00:00,MKR-PERP,5.7e-05,2424.5,2420.0,2428.0,2425.5
